Параметр;Тип данных;Значение по умолчанию;
server;string;-;Обязательный. Домен, на котором расположен сервер. Без https:// и прочего, не относящегося к домену. Пример: yandex.ru
projectId;Number;1;Произвольный ID сайта/проекта/чего-то еще. Придумывается самостоятельно. Если ничего не указывать, он сформируется автоматически на основе доменного имени. Нужен, чтобы можно было легко отличать данные одного сайта от другого.
sessionTimeout;Number;1800;Тайм-аут сессии: сколько времени с последнего события должно пройти.
lastCampaignExpires;Number;7776000;Период, на который запоминаются последние рекламные метки. Указывается в секундах.
cookieDomain;String;auto;Домен, на который будет установлена основная кука отслеживания. Auto означает, что будет использоваться ваш домен, из которого будут убраны лишние поддомены.
cookiePath;String;/;Путь на сайте, для которого ставится cookie, которые будут доступны ему и его потомкам.
cookiePrefix;String;rst-;Префикс, добавляемый ко всем проставляемым кукам
loctorPrefix;String;rst:;Префикс, добавляемый ко всем ключам записей в LocalStorage
trackActivity;Boolean,Object;true;Отслеживание активности на сайте. Допустимые значения: true/false/объект. Конфигурация: {zeroEvents: false, flushInterval:5,scrollEvents: true,domEvents: true}
trackClicks;Boolean,Object;true;Автоматическое отслеживание кликов. Обрабатывает все клики и автоматически классифицирует их на внутренние и внешние. Допустимые значения: true/false/объект. Конфигурация: {allClicks: false}
trackForms;Boolean;true;Автоматическое отслеживание взаимодействий с формами. Генерирует события field*, form*
pixelSync;Boolean,Object;{};"Draft! Параметры перехвата пикселей. Устанавливаются пользовательскими параметрами. Подробнее в разделе ""Перехват пикселей""."
allowHTTP;Boolean;false;По умолчанию работает только на https. Этим параметром можете разрешить работу с http (если у на сайте нет SSL)
allowSendBeacon;Boolean;true;Использовать ли, для передачи данных на сервер транспорт sendBeacon (при доступности)
allowXHR;Boolean;true;Использовать ли, для передачи данных на сервер транспорт XHR (при доступности)
activateWs;Boolean;false;Использовать ли, для передачи данных на сервер транспорт WebSocket (при доступности)
